Group.1;Alburnus alburnus;Cyprinidae;Cyprinoidei;Gadidae;Gadoidei;Leuciscinae;Melanogrammus aeglefinus;Molva molva;Perciformes;Percomorphaceae;Salmonidae;Salvelinus;Sebastinae;Sebastiscus marmoratus;Thymallus;Trachinus draco;Zoarcales
AB065EXB1;0;0;0;0;0;136214;0;0;0;0;0;0;0;0;0;0;0
BBO203NBR;0;0;0;0;0;0;50140;0;0;0;0;0;0;0;0;0;0
BBO205NBR;0;0;0;0;0;0;39805;0;0;0;0;0;0;0;0;0;0
BBO207NBR;0;0;0;279;0;0;620460;0;0;0;0;0;0;0;0;0;0
BBO208BR1;0;0;0;0;0;0;22075;0;0;0;28138;0;0;0;0;224;0
BBO208BR2;0;0;0;0;0;0;10806;0;0;0;0;0;0;0;0;0;0
BBO208BR3;0;0;0;0;0;0;5718;0;0;0;250;0;0;0;3181;0;0
BBO213BR2;0;0;0;0;0;0;6226;0;0;0;0;0;0;0;0;0;0
BBO217BR1;0;0;0;0;3707;0;20076;0;0;0;0;0;0;0;0;0;0
BBO217BR2;0;0;0;4304;0;0;43243;0;0;0;0;0;0;0;0;0;0
BBO217BR3;0;0;0;1823;0;0;24451;0;0;0;0;0;0;0;0;0;0
BBO218BR1;0;0;0;0;0;0;10655;0;0;0;0;0;0;0;0;0;0
BBO218BR2;0;0;0;0;0;0;87768;0;0;0;0;0;0;0;0;0;0
BBO220BR1;2881;0;0;0;0;2906;0;0;0;0;0;0;0;0;0;0;0
BBO221BR1;0;0;0;20104;0;0;79318;0;0;0;0;0;0;0;0;0;0
BBO221BR2;0;0;0;0;0;0;13244;0;0;0;0;0;0;0;0;0;0
BBO221BR3;0;0;0;1678;0;774;5489;0;0;0;0;0;0;0;0;0;0
BBO222NBR;0;39806;313;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO224NBR;8279;0;0;0;0;7384;0;0;0;0;0;0;0;0;0;0;0
BBO225NBR;0;0;0;0;0;6152;0;46040;0;0;0;0;0;0;0;0;0
BBO010_2_s_2;0;0;0;744286;50906;0;0;0;0;0;0;0;0;0;0;0;0
BBO010_s_1;0;0;0;130509;5174;0;0;0;0;0;0;0;0;0;0;0;0
BBO015_2_s_2;0;0;0;0;0;0;0;0;0;691;0;0;474150;0;0;0;0
BBO015_s_1;0;0;0;0;0;0;0;0;0;0;0;0;194918;0;0;0;0
BBO016BR3_s_1;0;0;0;5460;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO016BR3_2_s_2;0;0;0;148839;260;0;0;0;0;0;0;0;0;0;0;0;0
BBO010NBR;0;0;0;208995;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO020BR1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4603
BBO021NBR;0;0;0;202592;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO021_2_s_2;0;0;0;821;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO021_s_1;0;0;0;0;0;0;0;0;9238;0;0;0;0;0;0;0;0
BBO025_s_1;0;0;0;487;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO025_2_s_2;0;0;0;278030;374;0;0;0;0;0;0;0;15359;0;0;0;0
BBO027_2_s_2;0;0;0;248870;50509;0;0;0;0;0;0;0;0;0;0;0;0
BBO027_s_1;0;0;0;4456096;412125;0;0;0;0;0;0;0;0;0;0;0;0
BBO029_2_s_2;0;0;0;0;0;0;0;0;0;1664;0;0;1279509;432;0;0;0
BBO029_s_1;0;0;0;0;0;0;0;0;0;241;0;0;330500;332349;0;0;0
BBO035_2_s_2;0;0;0;252645;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO014BR1_s_2;0;0;0;12729;0;0;0;0;0;0;0;0;0;0;0;0;0
BBO014BR2_s_1;0;0;0;0;0;0;0;0;0;0;208;335;0;0;0;0;0
BBO016BR1_s_2;0;0;0;5087;0;0;0;0;0;0;0;0;0;0;0;0;0
NOC040NBR;4446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0