Group.1;Primer;Lab_id;Sample_id;Layer;Year_excavated;Field_id;Cave;X_coord;Y_coord;Group;Type
AB065EXB1;Fish16S;AB065EB1;AB065EB1;N/A;2022;N/A;NO;N/A;N/A;N/A;Blank
BBO010_2_s_2;Fish16S;BBO010NBR;BBO010;L2;2021;B-GR-OM2001, B-GR-OM2002;NO;99;51;Unidentifiable;Bulk bone
BBO010_s_1;Fish16S;BBO010NBR;BBO010;L2;2021;B-GR-OM2001, B-GR-OM2002;NO;99;51;Unidentifiable;Bulk bone
BBO010NBR;Mamp007;BBO010NBR;BBO010;L2;2021;B-GR-OM2001, B-GR-OM2002;NO;99;51;Unidentifiable;Bulk bone
BBO014BR1_s_2;Mamp007;BBO014BR1;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO014BR2_s_1;Mamp007;BBO014BR2;BBO014;L2;2021;B-GR-OU3001, B-GR-OU3002, B-GR-OU3004, B-GR-OU3005, B-GR-OU3008, B-GR-OU3016, B-GR-OU3017-1, B-GR-OU3022, B-GR-OU3023, B-GR-OU3025, B-GR-OU3028, B-GR-OU3029, B-GR-OU3031, B-GR-OU3032, B-GR-OU3033, B-GR-OU3033, B-GR-OU3034;NO;99;51;Mammal;Bulk bone
BBO015_2_s_2;Fish16S;BBO015NBR;BBO015;L2;2021;B-GR-OU3014, B-GR-OU3015, B-GR-OU3034;NO;99;51;Fish;Bulk bone
BBO015_s_1;Fish16S;BBO015NBR;BBO015;L2;2021;B-GR-OU3014, B-GR-OU3015, B-GR-OU3034;NO;99;51;Fish;Bulk bone
BBO016BR1_s_2;Mamp007;BBO016BR3;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentifiable;Bulk bone
BBO016BR3_2_s_2;Fish16S;BBO016BR3;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentifiable;Bulk bone
BBO020BR1;Mamp007;BBO020BR1;BBO020;LU;2021;B-GR-OU4001, B-GR-OU4002, B-GR-OU4005, B-GR-OU4007, B-GR-OU4008, B-S-OU3003, B-S-OU3004;NO;99;51;Mammal;Bulk bone
BBO021_2_s_2;Fish16S;BBO021NBR;BBO021;LU;2021;B-GR-OU4002, B-GR-OU4006, B-GR-OU4008, B-S-OU4005;NO;99;51;Unidentifiable;Bulk bone
BBO021_s_1;Fish16S;BBO021NBR;BBO021;LU;2021;B-GR-OU4002, B-GR-OU4006, B-GR-OU4008, B-S-OU4005;NO;99;51;Unidentifiable;Bulk bone
BBO021NBR;Mamp007;BBO021NBR;BBO021;LU;2021;B-GR-OU4002, B-GR-OU4006, B-GR-OU4008, B-S-OU4005;NO;99;51;Unidentifiable;Bulk bone
BBO025_2_s_2;Fish16S;BBO025NBR;BBO025;K1;2021;B-GR-OL2001, B-GR-OL2007;NO;99;51;Unidentifiable;Bulk bone
BBO025_s_1;Mamp007;BBO025NBR;BBO025;K1;2021;B-GR-OL2001, B-GR-OL2007;NO;99;51;Unidentified;Bulk bone
BBO027_2_s_2;Fish16S;BBO027NBR;BBO027;K1;2021;B-GR-OL2005,B-GR-OL2006, B-GR-OL2007;NO;99;51;Fish;Bulk bone
BBO027_s_1;Fish16S;BBO027NBR;BBO027;K1;2021;B-GR-OL2005,B-GR-OL2006, B-GR-OL2007;NO;99;51;Fish;Bulk bone
BBO029_2_s_2;Fish16S;BBO029NBR;BBO029;K2;2021;B-GR-OL3001;NO;99;51;Unidentifiable;Bulk bone
BBO029_s_1;Fish16S;BBO029NBR;BBO029;K2;2021;B-GR-OL3001;NO;99;51;Unidentifiable;Bulk bone
BBO035_2_s_2;Fish16S;BBO035NBR;BBO035;L1;2021;B-GR-OU2009, B-GR-OU2011;NO;99;51;Unidentifiable;Bulk bone
BBO203NBR;Fish16S;BBO203NBR;BBO203;U1;2022;B-S-OU1004-1;NO;99;53;Fish;Bulk bone
BBO205NBR;Fish16S;BBO205NBR;BBO205;L2;2022;B-GR-OL2011-3;NO;99;53;Fish;Bulk bone
BBO207NBR;Fish16S;BBO207NBR;BBO207;L1;2022;"B-GR-OL1037-2 ; B-GR-OL1031-2 ; B-GR-OL1034-2";NO;99;53;Fish;Bulk bone
BBO208BR1;Fish16S;BBO208BR1;BBO208;LU;2022;"B-GR-OLU008-3 ; B-GR-OLU023-2 ; B-GR-OLU020-2 ; B-GR-OLU016-3 ; B-GR-OLU018-2 ; B-GR-OLU014-2 ; B-GR-OLU017-2 ";NO;99;53;Fish;Bulk bone
BBO208BR2;Fish16S;BBO208BR2;BBO208;LU;2022;"B-GR-OLU008-3 ; B-GR-OLU023-2 ; B-GR-OLU020-2 ; B-GR-OLU016-3 ; B-GR-OLU018-2 ; B-GR-OLU014-2 ; B-GR-OLU017-2 ";NO;99;53;Fish;Bulk bone
BBO208BR3;Fish16S;BBO208BR3;BBO208;LU;2022;"B-GR-OLU008-3 ; B-GR-OLU023-2 ; B-GR-OLU020-2 ; B-GR-OLU016-3 ; B-GR-OLU018-2 ; B-GR-OLU014-2 ; B-GR-OLU017-2 ";NO;99;53;Fish;Bulk bone
BBO213BR2;Mamp007;BB0213BR2;BBO213;LU;2022;"B-GR-OLU015-3 ; B-GR-OLU023-6 ; B-GR-OLU008-2 ; B-GR-OLU007-1";NO;99;53;Mammal;Bulk bone
BBO217BR1;Fish16S;BBO217BR1;BBO217;KL;2022;"B-GR-OKL007-1 ; B-GR-OKL001-1 ; B-GR-OK1059-1";NO;99;53;Unidentifiable;Bulk bone
BBO217BR2;Fish16S;BBO217BR2;BBO217;KL;2022;"B-GR-OKL007-1 ; B-GR-OKL001-1 ; B-GR-OK1059-1";NO;99;53;Unidentifiable;Bulk bone
BBO217BR3;Fish16S;BBO217BR3;BBO217;KL;2022;"B-GR-OKL007-1 ; B-GR-OKL001-1 ; B-GR-OK1059-1";NO;99;53;Unidentifiable;Bulk bone
BBO218BR1;Fish16S;BBO218BR1;BBO218;K1;2022;"B-GR-OK1029 ; B-GR-OK1024-1 ; B-GR-OK1026-1 ; B-GR-OK1057-1";NO;99;53;Unidentifiable;Bulk bone
BBO218BR2;Fish16S;BBO218BR2;BBO218;K1;2022;"B-GR-OK1029 ; B-GR-OK1024-1 ; B-GR-OK1026-1 ; B-GR-OK1057-1";NO;99;53;Unidentifiable;Bulk bone
BBO220BR1;Mamp007;BBO220BR1;BBO220;L2;2022;"B-GR-OL2009-2 ; B-GR-OL2011-1";NO;99;53;Unidentified;Bulk bone
BBO221BR1;Fish16S;BBO0221BR1;BBO0221;LU;2022;"B-GR-OLU008-1 ; B-GR-OLU017-1 ; B-GR-OLU016-1 ; B-GR-OLU014-1 ; B-GR-OLU018-1 ; B-GR-OLU001-1 ; B-GR-OLU007-2 ; B-GR-OLU020-1 ; B-GR-OLU015-1, B-GR-OLU023-1, B-GR-OLU005-1 ; B-GR-OLU010-1";NO;99;53;Unidentifiable;Bulk bone
BBO221BR2;Fish16S;BBO0221BR2;BBO0221;LU;2022;"B-GR-OLU008-1 ; B-GR-OLU017-1 ; B-GR-OLU016-1 ; B-GR-OLU014-1 ; B-GR-OLU018-1 ; B-GR-OLU001-1 ; B-GR-OLU007-2 ; B-GR-OLU020-1 ; B-GR-OLU015-1, B-GR-OLU023-1, B-GR-OLU005-1 ; B-GR-OLU010-1";NO;99;53;Unidentifiable;Bulk bone
BBO221BR3;Fish16S;BBO0221BR3;BBO0221;LU;2022;"B-GR-OLU008-1 ; B-GR-OLU017-1 ; B-GR-OLU016-1 ; B-GR-OLU014-1 ; B-GR-OLU018-1 ; B-GR-OLU001-1 ; B-GR-OLU007-2 ; B-GR-OLU020-1 ; B-GR-OLU015-1, B-GR-OLU023-1, B-GR-OLU005-1 ; B-GR-OLU010-1";NO;99;53;Unidentifiable;Bulk bone
BBO222NBR;Fish16S;BBO222NBR;BBO222;U1;2022;B-GR-OU1012;NO;99;53;Unidentifiable;Bulk bone
BBO224NBR;Fish16S;BBO224NBR;BBO224;U9;2022;B-GR-OU9001;NO;99;53;Unidentifiable;Bulk bone
BBO225NBR;Fish16S;BBO225NBR;BBO225;Q1;2022;B-GR-OQ1002-1;NO;99;53;Unidentifiable;Bulk bone
NOC040NBR;Mamp007;NOC040NBR;NOC040;L1;2022;B-GR-OL1009-2;NO;98;52;Lepus sp.;Single bone
BBO016BR3_s_1;Mamp007;BBO016BR3;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentifiable;Bulk bone